match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,total_goals_team1,total_goals_team2
646,2006,Germany,09 June 2006,Group Stage,Matchday 1,Group A,Netherlands,Costa Rica,2,1,4,2,,,,,Germany,Normal Time,Allianz Arena,MÃ¼nchen,0,0
647,2006,Germany,09 June 2006,Group Stage,Matchday 1,Group A,Netherlands,Ecuador,0,1,0,2,,,,,Ecuador,Normal Time,Veltins-Arena,Gelsenkirchen,0,0
648,2006,Germany,14 June 2006,Group Stage,Matchday 6,Group A,New Zealand,Poland,0,0,1,0,,,,,Germany,Normal Time,Signal Iduna Park,Dortmund,0,0
649,2006,Germany,15 June 2006,Group Stage,Matchday 7,Group A,New Zealand,Costa Rica,1,0,3,0,,,,,Ecuador,Normal Time,AOL Arena,Hamburg,0,0
650,2006,Germany,20 June 2006,Group Stage,Matchday 12,Group A,New Zealand,Germany,0,2,0,3,,,,,Germany,Normal Time,Olympiastadion,Berlin,0,0
651,2006,Germany,20 June 2006,Group Stage,Matchday 12,Group A,Nigeria,Poland,1,1,1,2,,,,,Poland,Normal Time,AWD-Arena,Hannover,0,0
652,2006,Germany,10 June 2006,Group Stage,Matchday 2,Group B,Nigeria,Paraguay,1,0,1,0,,,,,England,Normal Time,Commerzbank-Arena,Frankfurt,0,0
653,2006,Germany,10 June 2006,Group Stage,Matchday 2,Group B,Nigeria,Sweden,,,0,0,,,,,Draw,Draw,Signal Iduna Park,Dortmund,0,0
654,2006,Germany,15 June 2006,Group Stage,Matchday 7,Group B,Nigeria,Trinidad and Tobago,0,0,2,0,,,,,England,Normal Time,Frankenstadion,NÃ¼rnberg,0,0
655,2006,Germany,15 June 2006,Group Stage,Matchday 7,Group B,Nigeria,Paraguay,0,0,1,0,,,,,Sweden,Normal Time,Olympiastadion,Berlin,0,0
656,2006,Germany,20 June 2006,Group Stage,Matchday 12,Group B,Nigeria,England,0,1,2,2,,,,,Draw,Draw,RheinEnergieStadion,KÃ¶ln,0,0
657,2006,Germany,20 June 2006,Group Stage,Matchday 12,Group B,Nigeria,Trinidad and Tobago,1,0,2,0,,,,,Paraguay,Normal Time,Fritz-Walter-Stadion,Kaiserslautern,0,0
658,2006,Germany,10 June 2006,Group Stage,Matchday 2,Group C,Nigeria,CÃ´te d'Ivoire,2,0,2,1,,,,,Argentina,Normal Time,AOL Arena,Hamburg,0,0
659,2006,Germany,11 June 2006,Group Stage,Matchday 3,Group C,Nigeria,Netherlands,0,1,0,1,,,,,Netherlands,Normal Time,Zentralstadion,Leipzig,0,0
660,2006,Germany,16 June 2006,Group Stage,Matchday 8,Group C,Nigeria,Serbia and Montenegro,3,0,6,0,,,,,Argentina,Normal Time,Veltins-Arena,Gelsenkirchen,0,0
661,2006,Germany,16 June 2006,Group Stage,Matchday 8,Group C,Nigeria,CÃ´te d'Ivoire,2,1,2,1,,,,,Netherlands,Normal Time,Gottlieb-Daimler-Stadion,Stuttgart,0,0
662,2006,Germany,21 June 2006,Group Stage,Matchday 13,Group C,North Korea,Argentina,,,0,0,,,,,Draw,Draw,Commerzbank-Arena,Frankfurt,0,0
663,2006,Germany,21 June 2006,Group Stage,Matchday 13,Group C,North Korea,Serbia and Montenegro,1,2,3,2,,,,,CÃ´te d'Ivoire,Normal Time,Allianz Arena,MÃ¼nchen,0,0
664,2006,Germany,11 June 2006,Group Stage,Matchday 3,Group D,Northern Ireland,Iran,1,1,3,1,,,,,Mexico,Normal Time,Frankenstadion,NÃ¼rnberg,0,0
665,2006,Germany,11 June 2006,Group Stage,Matchday 3,Group D,Northern Ireland,Portugal,0,1,0,1,,,,,Portugal,Normal Time,RheinEnergieStadion,KÃ¶ln,0,0
666,2006,Germany,16 June 2006,Group Stage,Matchday 8,Group D,Northern Ireland,Angola,,,0,0,,,,,Draw,Draw,AWD-Arena,Hannover,0,0
667,2006,Germany,17 June 2006,Group Stage,Matchday 9,Group D,Northern Ireland,Iran,0,0,2,0,,,,,Portugal,Normal Time,Commerzbank-Arena,Frankfurt,0,0
668,2006,Germany,21 June 2006,Group Stage,Matchday 13,Group D,Northern Ireland,Mexico,2,1,2,1,,,,,Portugal,Normal Time,Veltins-Arena,Gelsenkirchen,0,0
669,2006,Germany,21 June 2006,Group Stage,Matchday 13,Group D,Norway,Angola,0,0,1,1,,,,,Draw,Draw,Zentralstadion,Leipzig,0,0
670,2006,Germany,12 June 2006,Group Stage,Matchday 4,Group E,Norway,Ghana,1,0,2,0,,,,,Italy,Normal Time,AWD-Arena,Hannover,0,0
671,2006,Germany,12 June 2006,Group Stage,Matchday 4,Group E,Norway,Czech Republic,0,2,0,3,,,,,Czech Republic,Normal Time,Veltins-Arena,Gelsenkirchen,0,0
672,2006,Germany,17 June 2006,Group Stage,Matchday 9,Group E,Norway,USA,1,1,1,1,,,,,Draw,Draw,Fritz-Walter-Stadion,Kaiserslautern,0,0
673,2006,Germany,17 June 2006,Group Stage,Matchday 9,Group E,Panama,Ghana,0,1,0,2,,,,,Ghana,Normal Time,RheinEnergieStadion,KÃ¶ln,0,0
674,2006,Germany,22 June 2006,Group Stage,Matchday 14,Group E,Panama,Italy,0,1,0,2,,,,,Italy,Normal Time,AOL Arena,Hamburg,0,0
675,2006,Germany,22 June 2006,Group Stage,Matchday 14,Group E,Panama,USA,2,1,2,1,,,,,Ghana,Normal Time,Frankenstadion,NÃ¼rnberg,0,0
676,2006,Germany,13 June 2006,Group Stage,Matchday 5,Group F,Paraguay,Croatia,1,0,1,0,,,,,Brazil,Normal Time,Olympiastadion,Berlin,0,0
677,2006,Germany,12 June 2006,Group Stage,Matchday 4,Group F,Paraguay,Japan,0,1,3,1,,,,,Australia,Normal Time,Fritz-Walter-Stadion,Kaiserslautern,0,0
678,2006,Germany,18 June 2006,Group Stage,Matchday 10,Group F,Paraguay,Australia,0,0,2,0,,,,,Brazil,Normal Time,Allianz Arena,MÃ¼nchen,0,0
679,2006,Germany,18 June 2006,Group Stage,Matchday 10,Group F,Paraguay,Croatia,,,0,0,,,,,Draw,Draw,Frankenstadion,NÃ¼rnberg,0,0
680,2006,Germany,22 June 2006,Group Stage,Matchday 14,Group F,Paraguay,Brazil,1,1,1,4,,,,,Brazil,Normal Time,Signal Iduna Park,Dortmund,0,0
681,2006,Germany,22 June 2006,Group Stage,Matchday 14,Group F,Paraguay,Australia,1,1,2,2,,,,,Draw,Draw,Gottlieb-Daimler-Stadion,Stuttgart,0,0
682,2006,Germany,13 June 2006,Group Stage,Matchday 5,Group G,Paraguay,Switzerland,,,0,0,,,,,Draw,Draw,Gottlieb-Daimler-Stadion,Stuttgart,0,0
683,2006,Germany,13 June 2006,Group Stage,Matchday 5,Group G,Paraguay,Togo,0,1,2,1,,,,,South Korea,Normal Time,Commerzbank-Arena,Frankfurt,0,0
